Type,Question,CorrectAnswer,Wrong1,Wrong2,Wrong3,Difficulty
Trivia,איך נועם הצליח לשרוד את המורות רונית ושושה ריידבסקי בלי להיזרק מהכיתה?,חיוך חנופה שאי אפשר לסרב לו,הוא באמת הכין שיעורי בית,הוא שיחד אותן בנס קפה,הוא פשוט לא הגיע לבית ספר,1
Trivia,מי מהרשימה הבאה היא הבוסית הנוכחית (הפולניה מתל אביב) ששומרת על נועם?,אווה,נילי,מיטל,יעל,1
Trivia,כשנועם גנב את האוטו של אבא לשטחים של ינון - מי היה הכי לחוץ?,אבא שלו (בלי לדעת),אחותו בושמת,החבר דני,השוטר הקהילתי,2
Trivia,אם נועם נתקע בשטח - מי מהחברים כנראה יגיע לחלץ אותו (או לפחות לצחוק עליו)?,תומר גיל ארז או יזהר,המורה שושה ריידבסקי,אווה עם הקורקינט,אור אלון ואליה,2
Trivia,מה הקשר בין סל כביסה במקלחת לבין נועם המתבגר?,זה היה מקום המסתור שלו למשימות "ריגול",שם הוא החביא את ה-Gameboy,שם הוא ישן אחרי הרכיבות בשטח,שם הוא בנה את ה-AI הראשון שלו,2
Voting,מי משלושת הילדים (אור אלון ואליה) הכי דומה לנועם באופטימיות הקוסמית שלו?,[בחירה חופשית],אור,אלון,אליה,2
Voting,מי מהחברים (דני תומר גיל ארז יזהר) הכי זורם עם נועם על נס קפה ב-2 בלילה?,[בחירה חופשית],דני,תומר,ארז,2
Task,תעשה חיקוי של נועם דופק את "חיוך החנופה" למורה רונית כדי לבטל מבחן,בוצע בהצלחה,נכשל,ויתר,,3
Task,דמיין שאתה אווה - תן לנועם "נזיפה פולנית" מתל אביב על זה שהוא שוב ב-AI,בוצע בהצלחה,נכשל,ויתר,,3
Task,תעמוד על רגל אחת ותגיד את השמות של כל האקסיות והחברים של נועם בלי להתבלבל,בוצע בהצלחה,נכשל,ויתר,,3
