קטגוריה,שאלה,תשובה א,תשובה ב,תשובה ג,תשובה ד,תשובה נכונה (מספר),רמת קושי,זמן (שניות)
גבעת חלפון,השלם את הציטוט המפורסם: 'לסרג'יו פנית – בודדת לא___',הצלחת,טעית,ידעת,הבנת,2,1,20
גבעת חלפון,מה הטיפול שסרג'יו מציע לויקטור ל'זפטה שמש'?,מנוחה,עיסוי,אמבטיה חול,תרופות,3,1,20
גבעת חלפון,השלם: 'לכל פקק יש בקבוק ולכל דלי יש...',מים,סמרטוט,ידית,חור,2,2,20
גבעת חלפון,מה סרג'יו אמר על בולגרים?,בולגרים חזקים,בולגרים טובים,אני אוהב בולגרים,אני לא סובל בולגרים,4,1,20
חגיגה בסנוקר,השלם: 'הצ'קים שלנו אף פעם לא...',מגיעים,נגמרים,חוזרים,נפדים,3,1,20
חגיגה בסנוקר,מה חנוכה אמר למוכר הירקות?,מתבייש מתבייש אבל הגרון יבש,אני רעב מאוד,תן לי ירקות,אין לי כסף,1,2,20
חגיגה בסנוקר,מה חנוכה רצה לקרוא ליד חנות הירקות?,תורה,תפילה,תהילים,זמירות,3,2,20
צ'ארלי וחצי,השלם: 'יין ישמח לבב אנוש... ואישה כמו___',ברכה,מתנה,חור בראש,אושר,3,1,20
צ'ארלי וחצי,השלם: 'מי מתעסק? זה___!',ציקו,דודו,מומו,מיקו,4,1,20
צ'ארלי וחצי,מה הביטוי המפורסם בקלפים?,אס זוכה... קינג בוכה,מלך מנצח תמיד,אס מנצח הכל,קינג הכי חזק,1,2,20
אסקימו לימון,מה שם הבחורה שבנצי מאוהב בה בסרט הראשון?,נילי,מירי,סטלה,שרי,1,2,20
אסקימו לימון,איך סטלה קוראת ליודלה?,מתוק שלי,שטרודל שלי,חמוד שלי,יפה שלי,2,2,20
אסקימו לימון,מה השיר בסצנת הסיום העצובה?,Help,Yesterday,Hello,Mr. Lonely,4,2,20
מבצע סבתא,השלם את הציטוט: 'סבתא חיה___!',חולה,מתה,ישנה,בריאה,2,1,20
מבצע סבתא,מה בני שגיב מבקש לתקן את המקרר?,פטיש ומברג,בקבוק ספרייט ומספריים,מברג ודבק,חוט וסרט,2,2,20
אלכס חולה אהבה,מה יאנוש אמר על ילדים?,ילדים זה דרעק,ילדים זה יפה,ילדים זה כיף,אני אוהב ילדים,1,1,20
אלכס חולה אהבה,מה הפולקע של קלרה?,אייזן (ברזל),זהב,כסף,נחושת,1,2,20
אסקימו לימון - ספיחס,"השלם את דברי רס""""ר שמש: 'אתם כוכבים ואני הירח אתם קוצים ואני...'",שושנה,וורד,פרח,עץ,1,2,20
