מספר,קטגוריה,שאלה,תשובה א,תשובה ב,תשובה ג,תשובה ד,תשובה נכונה,רמת קושי,הערות
1,גבעת חלפון,השלם: 'אני לא אוהב___',טורקים,ערבים,גשם,סרטים,טורקים,1,
2,גבעת חלפון,מה שמו של הקצין המפקד?,בצלאל,שמוליק,סרג'יו,ניקו,סרג'יו,1,
3,צ'ארלי וחצי,מה שם הכלב הגדול?,מקס,צ'ארלי,בובי,רקס,צ'ארלי,1,
4,מבצע סבתא,מה רצה קרמבו למכור?,קרמבו,פלאפל,שווארמה,בורקס,קרמבו,1,
5,אסקימו לימון,מה שמו של הדמות הראשית?,מומו,בנצי,יוסי,דודו,בנצי,1,
6,גבעת חלפון,איך קוראים לטבח המחנה?,חיים,אברהם,יוסף,ניקו,ניקו,1,
7,חגיגה בסנוקר,איפה מתרחש הסרט?,בבריכה,במועדון סנוקר,בבית קפה,בכביש,במועדון סנוקר,1,
8,אלכס חולה אהבה,מה שמו של הגיבור?,דני,אלכס,יוסי,רוני,אלכס,1,
9,גבעת חלפון,מה תפקידו של גשש חיה?,טבח,שומר,קצין,חייל,שומר,1,
10,צ'ארלי וחצי,מי בעליו של צ'ארלי?,ילד,זקן,אישה,משפחה,ילד,1,
11,אהבה קולומביאנית,איך קוראים לגיבור?,תותי,דודו,ציקו,מומו,תותי,1,
12,מבצע סבתא,מה תפקיד זינגר?,שופט,פושע,יהלומן,קצין,יהלומן,1,
13,גבעת חלפון,מה אמר ניקו כשאין מה לאכול?,יאללה להתחיל,בואו נשחק,ניכנס לתפריט,זה בסדר,ניכנס לתפריט,1,
14,אסקימו לימון,באיזו תקופה הסרט מתרחש?,שנות ה-50,שנות ה-60,שנות ה-70,שנות ה-80,שנות ה-70,1,
15,חגיגה בסנוקר,מה המשחק המרכזי?,שחמט,סנוקר,קלפים,בילבורד,סנוקר,1,
16,גבעת חלפון,איזה צבע ביגוד רואים הכי הרבה?,ירוק צבאי,כחול,אדום,צהוב,ירוק צבאי,1,
17,מבצע סבתא,מה קרמבו מנסה להבריח?,יהלומים,נשק,סמים,כסף,יהלומים,1,
18,גבעת חלפון,מה שם בתו של גשש איבגי?,שרה,מזל,רחל,דינה,מזל,2,
19,אסקימו לימון,מה שם החברה של בנצי?,רותי,מירי,ניקי,שרי,ניקי,2,
20,מבצע סבתא,איך זינגר מתחפש?,לרופא,לרב,לקצין,לסבתא,לסבתא,2,
21,גבעת חלפון,מה ניסו החיילים להסתיר?,טנק,ג'יפ,תותח,משאית,תותח,2,
22,חגיגה בסנוקר,מי השחקן הראשי?,יהורם גאון,ירון לונדון,משה איבגי,שייקה לוי,יהורם גאון,2,
23,צ'ארלי וחצי,מה הבעיה עם צ'ארלי?,חולה,גדול מדי,תוקפני,זקן,גדול מדי,2,
24,אלכס חולה אהבה,במה אלכס עובד?,מוניות,משלוחים,מכירות,מסעדה,מוניות,2,
25,אסקימו לימון,איך קוראים לאמא של בנצי?,מרגלית,שושנה,רוזה,גילה,רוזה,2,
26,גבעת חלפון,מה הסיבה לביקורת בבסיס?,תרגיל,ביקור שר,ביקור גנרל,יום עצמאות,ביקור גנרל,2,
